Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.0992330711994445,37.67194976076555,1.1227866699741145,41.527113237639554,0.001
2,1.0892228113407154,39.64812599681021,1.1699989882244426,41.457336523125996,0.001
3,1.0790932736993786,39.96087519936204,1.1362420347086184,26.958732057416267,0.001
4,1.0601359274493831,40.07675438596491,1.133189400290228,26.978668261562998,0.0005
5,1.0547060766383602,40.60755582137161,1.1266803395975926,26.978668261562998,0.0005
6,1.0538029491521146,40.405701754385966,1.2098521468745675,26.953748006379584,0.0005
7,1.0533252103191815,40.61253987240829,1.1825653557564801,26.978668261562998,0.00025
8,1.0496573941559313,40.97014553429027,1.3230886250544505,26.96371610845295,0.00025
9,1.0506398008580793,40.867972488038276,1.2577831122525938,26.96371610845295,0.00025
10,1.048709934217888,41.04366028708134,1.851064590511808,26.958732057416267,0.000125
11,1.0503726969020029,40.99257376395534,1.1361230122055976,26.96371610845295,0.000125
12,1.0523986597760822,40.382027511961724,4.395469198181371,26.953748006379584,0.000125
13,1.0527681679816907,40.49666068580542,1.1692969890157128,26.953748006379584,6.25e-05
14,1.0540218136527322,40.15525318979267,1.2154539254060976,26.98365231259968,6.25e-05
15,1.0516063292440996,40.48295454545455,1.1417313950836279,26.978668261562998,6.25e-05
